epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
139,88214.5,1.50161,0.3548,0.19036,0.28928,0.21607,0.18071,0.08149,1.08898,0.47093,0.11189,0.003169,0.003169,0.003169
140,88824.3,1.42934,0.37135,0.18089,0.28016,0.21186,0.17663,0.07922,1.10066,0.46754,0.11257,0.0031195,0.0031195,0.0031195
141,89387.5,1.54104,0.34415,0.20875,0.24324,0.19803,0.15626,0.06558,1.17066,0.44955,0.11677,0.00307,0.00307,0.00307
142,89952.5,1.18698,0.44321,0.14026,0.24011,0.19925,0.15743,0.06643,1.16838,0.44998,0.11627,0.0030205,0.0030205,0.0030205
143,90517.2,1.10293,0.46805,0.13376,0.24203,0.20052,0.15841,0.06673,1.16645,0.45157,0.11567,0.002971,0.002971,0.002971
144,91080.6,1.40467,0.37848,0.16839,0.29039,0.21611,0.17876,0.07922,1.09822,0.46869,0.11169,0.0029215,0.0029215,0.0029215
145,91645,1.13774,0.46086,0.13954,0.29865,0.21816,0.18195,0.08084,1.08937,0.4716,0.11091,0.002872,0.002872,0.002872
146,92208.2,1.12616,0.46212,0.13649,0.30645,0.22014,0.18393,0.08142,1.08467,0.47388,0.11054,0.0028225,0.0028225,0.0028225
147,92774.4,1.33398,0.39877,0.16326,0.31367,0.22376,0.18786,0.08413,1.06797,0.47791,0.1097,0.002773,0.002773,0.002773
148,93338.9,1.36759,0.38183,0.16516,0.30939,0.22026,0.18485,0.08131,1.08075,0.47474,0.11064,0.0027235,0.0027235,0.0027235
149,93904.3,1.65157,0.31204,0.21395,0.29987,0.21786,0.18212,0.07949,1.09358,0.47018,0.11168,0.002674,0.002674,0.002674
150,94469.5,1.39498,0.37714,0.17097,0.28196,0.21357,0.17641,0.07619,1.1099,0.46483,0.11257,0.0026245,0.0026245,0.0026245
151,95033.8,1.26237,0.41779,0.14578,0.28889,0.21511,0.17947,0.07835,1.10274,0.46613,0.11217,0.002575,0.002575,0.002575
152,95606.7,1.05941,0.47992,0.1261,0.2942,0.21479,0.18098,0.07903,1.10068,0.46703,0.11137,0.0025255,0.0025255,0.0025255
153,96170.5,1.03006,0.48904,0.12504,0.29383,0.21426,0.18096,0.07928,1.09911,0.46764,0.11069,0.002476,0.002476,0.002476
154,96737.4,1.03619,0.48578,0.12668,0.29992,0.21409,0.18092,0.07913,1.09911,0.46787,0.11026,0.0024265,0.0024265,0.0024265
155,97303.5,1.05355,0.48133,0.12843,0.29886,0.21415,0.18088,0.07906,1.09976,0.46822,0.1098,0.002377,0.002377,0.002377
156,97888.8,1.04696,0.4816,0.12675,0.29929,0.2157,0.18196,0.0793,1.09843,0.46846,0.10946,0.0023275,0.0023275,0.0023275
157,98552.1,1.30605,0.40685,0.15619,0.30232,0.21612,0.18327,0.08042,1.09318,0.46972,0.10916,0.002278,0.002278,0.002278
158,99186,1.34498,0.392,0.15548,0.3133,0.21871,0.18826,0.08375,1.07659,0.47387,0.10826,0.0022285,0.0022285,0.0022285
159,99847.4,1.30311,0.40997,0.16034,0.31599,0.22129,0.19109,0.08613,1.06611,0.47585,0.10754,0.002179,0.002179,0.002179
160,100432,1.02141,0.48813,0.12446,0.31827,0.2217,0.19223,0.08686,1.06371,0.47644,0.10709,0.0021295,0.0021295,0.0021295
161,101066,1.02764,0.48927,0.12776,0.31639,0.22267,0.19224,0.08728,1.06189,0.47708,0.10665,0.00208,0.00208,0.00208
162,101634,1.02488,0.48583,0.12485,0.31341,0.22325,0.19258,0.0876,1.0599,0.47759,0.10611,0.0020305,0.0020305,0.0020305
163,102199,1.16582,0.44589,0.1363,0.31884,0.2268,0.1968,0.09031,1.04722,0.4809,0.10523,0.001981,0.001981,0.001981
164,102798,1.42668,0.36877,0.16367,0.33014,0.23539,0.20581,0.09674,1.02041,0.48743,0.10391,0.0019315,0.0019315,0.0019315
165,103360,1.35372,0.39292,0.15766,0.34353,0.2388,0.21229,0.10202,0.99863,0.49254,0.10257,0.001882,0.001882,0.001882
166,103924,1.13592,0.45316,0.13903,0.34354,0.24322,0.21411,0.1036,0.9936,0.4932,0.10236,0.0018325,0.0018325,0.0018325
167,104487,1.03887,0.48321,0.1252,0.34347,0.24392,0.21519,0.10437,0.99026,0.49461,0.10188,0.001783,0.001783,0.001783
168,105056,1.01969,0.48816,0.1242,0.34219,0.24492,0.21577,0.10469,0.98882,0.49492,0.10162,0.0017335,0.0017335,0.0017335
169,105633,1.02572,0.48602,0.12739,0.34242,0.24491,0.21609,0.10495,0.98733,0.49561,0.10138,0.001684,0.001684,0.001684
170,106201,1.39918,0.38299,0.16233,0.34455,0.24519,0.21679,0.10505,0.98771,0.49562,0.10096,0.0016345,0.0016345,0.0016345
171,106768,1.27326,0.41278,0.14488,0.34424,0.24654,0.21715,0.10539,0.98632,0.49548,0.10084,0.001585,0.001585,0.001585
172,107335,1.06763,0.47108,0.12538,0.34665,0.24542,0.217,0.105,0.98777,0.4952,0.10081,0.0015355,0.0015355,0.0015355
173,107902,1.42162,0.37302,0.16078,0.33298,0.24234,0.21218,0.10149,1.00262,0.49143,0.10145,0.001486,0.001486,0.001486
174,108468,1.25844,0.41909,0.1443,0.33528,0.24283,0.21264,0.1019,1.00219,0.49118,0.1014,0.0014365,0.0014365,0.0014365
175,109035,1.03262,0.48247,0.12248,0.33539,0.24448,0.21454,0.10333,0.99756,0.49234,0.10097,0.001387,0.001387,0.001387
176,109603,1.01128,0.48813,0.12459,0.33903,0.24555,0.21639,0.10443,0.99208,0.49401,0.10058,0.0013375,0.0013375,0.0013375
177,110172,1.00397,0.49059,0.12133,0.34094,0.24668,0.21797,0.10568,0.9871,0.49517,0.10016,0.001288,0.001288,0.001288
178,110762,1.00516,0.48793,0.12354,0.34428,0.24751,0.21917,0.10695,0.98222,0.49613,0.09965,0.0012385,0.0012385,0.0012385
179,111336,0.98471,0.49407,0.12023,0.3466,0.24852,0.2206,0.108,0.97766,0.49725,0.09934,0.001189,0.001189,0.001189
180,111901,0.99185,0.49127,0.11973,0.34707,0.24925,0.22155,0.10921,0.97261,0.49872,0.09893,0.0011395,0.0011395,0.0011395
181,112549,0.99231,0.49077,0.12173,0.35091,0.25055,0.22311,0.11044,0.96829,0.49969,0.09848,0.00109,0.00109,0.00109
182,113201,0.98732,0.49102,0.12001,0.35232,0.25119,0.22456,0.11144,0.96383,0.50092,0.09808,0.0010405,0.0010405,0.0010405
183,113857,0.97975,0.49303,0.11679,0.35226,0.25191,0.22551,0.11241,0.95986,0.50186,0.09794,0.000991,0.000991,0.000991
184,114425,0.98073,0.49271,0.11813,0.35469,0.25274,0.22745,0.11382,0.95529,0.50295,0.09747,0.0009415,0.0009415,0.0009415
185,114984,0.99036,0.48878,0.11675,0.35736,0.25449,0.22953,0.11473,0.95072,0.50419,0.09715,0.000892,0.000892,0.000892
